"filename", "language", "HTML", "Markdown", "JavaScript", "CSS", "JSON", "comment", "blank", "total"
"e:\random Projects 2\hackathons\WBoard\public\lib\css\addons\flag.css", "CSS", 0, 0, 0, 1005, 0, 20, 12, 1037
"e:\random Projects 2\hackathons\WBoard\public\lib\css\addons\flag.min.css", "CSS", 0, 0, 0, 1, 0, 8, 0, 9
"e:\random Projects 2\hackathons\WBoard\public\lib\css\addons\rating.css", "CSS", 0, 0, 0, 16, 0, 0, 7, 23
"e:\random Projects 2\hackathons\WBoard\public\lib\css\addons\rating.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 1
"e:\random Projects 2\hackathons\WBoard\public\lib\css\addons\zmd.hierarchical-display.css", "CSS", 0, 0, 0, 49, 0, 4, 10, 63
"e:\random Projects 2\hackathons\WBoard\public\lib\css\addons\zmd.hierarchical-display.min.css", "CSS", 0, 0, 0, 1, 0, 3, 0, 4
"e:\random Projects 2\hackathons\WBoard\public\lib\css\bootstrap.css", "CSS", 0, 0, 0, 8832, 0, 7, 1199, 10038
"e:\random Projects 2\hackathons\WBoard\public\lib\css\bootstrap.min.css", "CSS", 0, 0, 0, 1, 0, 6, 0, 7
"e:\random Projects 2\hackathons\WBoard\public\lib\css\mdb.css", "CSS", 0, 0, 0, 9121, 0, 237, 1458, 10816
"e:\random Projects 2\hackathons\WBoard\public\lib\css\mdb.min.css", "CSS", 0, 0, 0, 5, 0, 36, 0, 41
"e:\random Projects 2\hackathons\WBoard\public\lib\css\modules\animations-extended.css", "CSS", 0, 0, 0, 2110, 0, 16, 199, 2325
"e:\random Projects 2\hackathons\WBoard\public\lib\css\modules\animations-extended.min.css", "CSS", 0, 0, 0, 1, 0, 6, 0, 7
"e:\random Projects 2\hackathons\WBoard\public\lib\css\style.css", "CSS", 0, 0, 0, 0, 0, 1, 1, 2
"e:\random Projects 2\hackathons\WBoard\public\lib\css\style.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"e:\random Projects 2\hackathons\WBoard\public\lib\js\addons\datatables-select.js", "JavaScript", 0, 0, 719, 0, 0, 266, 196, 1181
"e:\random Projects 2\hackathons\WBoard\public\lib\js\addons\datatables-select.min.js", "JavaScript", 0, 0, 1, 0, 0, 4, 1, 6
"e:\random Projects 2\hackathons\WBoard\public\lib\js\addons\datatables.js", "JavaScript", 0, 0, 6463, 0, 0, 7026, 2012, 15501
"e:\random Projects 2\hackathons\WBoard\public\lib\js\addons\datatables.min.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 3
"e:\random Projects 2\hackathons\WBoard\public\lib\js\addons\imagesloaded.pkgd.min.js", "JavaScript", 0, 0, 1, 0, 0, 5, 1, 7
"e:\random Projects 2\hackathons\WBoard\public\lib\js\addons\jquery.zmd.hierarchical-display.js", "JavaScript", 0, 0, 128, 0, 0, 14, 34, 176
"e:\random Projects 2\hackathons\WBoard\public\lib\js\addons\jquery.zmd.hierarchical-display.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 1
"e:\random Projects 2\hackathons\WBoard\public\lib\js\addons\masonry.pkgd.min.js", "JavaScript", 0, 0, 1, 0, 0, 7, 1, 9
"e:\random Projects 2\hackathons\WBoard\public\lib\js\addons\progressBar.js", "JavaScript", 0, 0, 28, 0, 0, 0, 4, 32
"e:\random Projects 2\hackathons\WBoard\public\lib\js\addons\progressBar.min.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 4
"e:\random Projects 2\hackathons\WBoard\public\lib\js\addons\rating.js", "JavaScript", 0, 0, 96, 0, 0, 6, 19, 121
"e:\random Projects 2\hackathons\WBoard\public\lib\js\addons\rating.min.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 8
"e:\random Projects 2\hackathons\WBoard\public\lib\js\bootstrap.js", "JavaScript", 0, 0, 3262, 0, 0, 332, 842, 4436
"e:\random Projects 2\hackathons\WBoard\public\lib\js\bootstrap.min.js", "JavaScript", 0, 0, 1, 0, 0, 6, 0, 7
"e:\random Projects 2\hackathons\WBoard\public\lib\js\jquery-3.4.1.min.js", "JavaScript", 0, 0, 1, 0, 0, 1, 1, 3
"e:\random Projects 2\hackathons\WBoard\public\lib\js\mdb.js", "JavaScript", 0, 0, 7911, 0, 0, 1418, 1604, 10933
"e:\random Projects 2\hackathons\WBoard\public\lib\js\mdb.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 1
"e:\random Projects 2\hackathons\WBoard\public\lib\js\modules\addons\datatables-select.js", "JavaScript", 0, 0, 719, 0, 0, 266, 196, 1181
